ds,temp_air,precip
2026-04-08 00:00:00,0.0,0.0
2026-04-08 01:00:00,-0.3,0.0
2026-04-08 02:00:00,-0.4,0.0
2026-04-08 03:00:00,-0.6,0.0
2026-04-08 04:00:00,-0.4,0.0
2026-04-08 05:00:00,-0.1,0.0
2026-04-08 06:00:00,0.1,0.0
2026-04-08 07:00:00,0.1,0.0
2026-04-08 08:00:00,0.3,0.0
2026-04-08 09:00:00,0.5,0.0
2026-04-08 10:00:00,0.8,0.0
2026-04-08 11:00:00,0.6,0.4
2026-04-08 12:00:00,0.7,0.3
2026-04-08 13:00:00,0.7,0.1
2026-04-08 14:00:00,0.9,0.0
2026-04-08 15:00:00,1.0,0.0
2026-04-08 16:00:00,1.1,0.0
2026-04-08 17:00:00,0.8,0.0
2026-04-08 18:00:00,0.6,0.0
2026-04-08 19:00:00,0.2,0.0
2026-04-08 20:00:00,0.0,0.0
2026-04-08 21:00:00,-0.2,0.0
2026-04-08 22:00:00,-0.4,0.0
2026-04-08 23:00:00,-0.5,0.0
2026-04-09 00:00:00,-0.6,0.0
2026-04-09 01:00:00,-0.9,0.1
2026-04-09 02:00:00,-1.2,0.6
2026-04-09 03:00:00,-1.5,0.6
2026-04-09 04:00:00,-1.9,0.3
2026-04-09 05:00:00,-2.3,0.4
2026-04-09 06:00:00,-2.7,0.5
2026-04-09 07:00:00,-3.1,0.4
2026-04-09 08:00:00,-3.4,0.3
2026-04-09 09:00:00,-3.4,0.2
2026-04-09 10:00:00,-3.1,0.1
2026-04-09 11:00:00,-2.9,0.0
2026-04-09 12:00:00,-2.8,0.0
2026-04-09 13:00:00,-3.0,0.0
2026-04-09 14:00:00,-3.1,0.0
2026-04-09 15:00:00,-3.3,0.0
2026-04-09 16:00:00,-3.9,0.0
2026-04-09 17:00:00,-4.5,0.0
2026-04-09 18:00:00,-5.2,0.0
2026-04-09 19:00:00,-5.6,0.0
2026-04-09 20:00:00,-6.1,0.0
2026-04-09 21:00:00,-6.5,0.0
2026-04-09 22:00:00,-6.9,0.0
2026-04-09 23:00:00,-7.0,0.0
2026-04-10 00:00:00,-7.4,0.0
2026-04-10 01:00:00,-6.9,0.0
2026-04-10 02:00:00,-7.3,0.0
2026-04-10 03:00:00,-7.5,0.0
2026-04-10 04:00:00,-7.8,0.0
2026-04-10 05:00:00,-8.0,0.0
2026-04-10 06:00:00,-7.7,0.0
2026-04-10 07:00:00,-6.9,0.0
2026-04-10 08:00:00,-5.9,0.0
2026-04-10 09:00:00,-4.6,0.0
2026-04-10 10:00:00,-2.9,0.0
2026-04-10 11:00:00,-1.6,0.0
2026-04-10 12:00:00,-0.6,0.0
2026-04-10 13:00:00,0.2,0.0
2026-04-10 14:00:00,0.5,0.0
2026-04-10 15:00:00,0.5,0.0
2026-04-10 16:00:00,-0.2,0.0
2026-04-10 17:00:00,-1.1,0.0
2026-04-10 18:00:00,-1.8,0.0
2026-04-10 19:00:00,-2.8,0.0
2026-04-10 20:00:00,-3.1,0.0
2026-04-10 21:00:00,-3.5,0.0
2026-04-10 22:00:00,-3.6,0.0
2026-04-10 23:00:00,-3.8,0.0
